,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S,LB_BATCH_mu=1.78_S,GLC_BATCH_mu=0.67_S,LB_BATCH_mu=2.3_S,GLC_BATCH_mu=1.03_S
b0956,73.1584,91.719,48.2688,39.398999999999994,62.1792,38.867700000000006,91.08,72.85,49.990500000000004,44.62799999999999,26.4264,15.760499999999999,33.550200000000004,34.0848,35.14,64.8001,29.1354,41.019999999999996,57.314400000000006,25.918500000000005,43.1634,75.2136,87.3228,55.815,55.6336,253.0038
b2890,3642.5839999999994,10400.5175,6323.0976,1789.078,2400.7572,2623.1833,2639.2344000000003,1922.8125,3230.1315000000004,2155.488,1482.208,1172.4805,2284.2972,1928.7072,2824.178,4505.015,4025.5508999999997,3961.748,2574.33,1490.9520000000002,2508.9210000000003,4268.32,8034.6728,3408.315,8831.594200000001,5101.3347
b4129,700.3156,5099.1765,1335.9744,307.57899999999995,429.7934,498.5205,520.0668000000001,342.825,586.278,393.936,295.14160000000004,253.47899999999998,536.8032000000001,471.1770000000001,461.02,1085.4352000000001,752.6106,671.02,440.7216,278.4768,382.92359999999996,613.4008,3108.2168,759.09,3628.2394,1193.9358
b4155,50.324799999999996,556.8715,,13.2825,25.565099999999997,25.2961,30.386400000000002,11.9625,30.847500000000004,23.82,11.7832,1.3584999999999998,40.8402,131.93280000000001,43.414,53.714499999999994,63.018899999999995,,,9.2019,21.7236,,140.5772,103.59,345.7916,133.1217
b2962,4893.135399999999,9130.104000000001,5971.2192000000005,1855.3064999999997,2933.4079,4248.854,3681.6384,3324.1625,3044.1015,2346.336,1838.8447999999999,1443.2685,3796.2918,3212.9622,6752.158,6795.5026,5700.2631,5619.614,3357.5916,2804.0154,2944.4121,5032.6956,12236.767200000002,7315.724999999999,13401.8988,10142.1708
b3811,22.009999999999998,34.8945,55.5648,9.982,21.4376,14.9471,20.1036,19.45,20.007,13.860000000000001,7.228000000000001,4.4935,2.3814,0.6480000000000001,8.498,21.1133,10.6281,29.218,22.8492,9.1575,28.883100000000002,30.7544,0.8056000000000001,23.655,27.577,40.409099999999995
b2894,14.2852,62.650999999999996,29.2224,7.337,12.318999999999999,8.5936,10.3884,6.7625,6.115500000000001,4.404,1.5184,0.988,0.9072000000000001,1.5876000000000001,4.886,5.5577,9.937199999999999,15.735999999999999,10.995600000000001,4.884000000000001,13.9449,0.7844,38.1176,15.75,75.75500000000001,50.5512
b3929,2213.638,4129.634,3069.4272,1123.6879999999999,1504.3404,1755.7406,1597.5036,1884.5625,1387.476,1084.464,1046.032,927.428,2615.3442000000005,2289.222,2467.7799999999997,3417.2852,3071.8589999999995,2227.5539999999996,1685.5608000000002,1408.0128000000002,1450.863,1867.2716,1454.8288,1025.8799999999999,1571.6274,1358.2626
b3348,400.0708,968.532,504.47999999999996,149.776,311.0865,224.141,308.8668,313.7,233.87400000000002,174.828,94.3592,75.57249999999999,159.57000000000002,179.577,300.664,462.9132,247.3275,198.64599999999996,175.0584,159.00750000000002,235.69590000000002,162.0748,741.1096,341.355,685.8498000000001,283.1646
b1322,27.3066,73.8955,56.1792,24.3915,38.5826,38.8284,39.494400000000006,29.012500000000003,54.486000000000004,47.82,40.1648,37.088,4.179600000000001,42.120000000000005,29.778,114.73,42.6153,44.589999999999996,46.4772,33.677400000000006,39.0096,43.4972,6.0844000000000005,9.870000000000001,7.2594,19.7532
b4480,103.6458,387.90299999999996,,55.90149999999999,198.6407,106.8829,85.85280000000002,62.3375,63.28800000000001,37.644,184.964,13.081499999999998,13.2192,14.1912,163.67399999999998,150.46020000000001,133.1232,,,27.117300000000004,80.4315,,,,,
b2916,886.9745999999999,840.091,817.1328,471.6955,628.904,718.2599,719.466,781.5625,562.6665,490.56,348.98240000000004,315.1435,564.1164000000001,501.5844,1000.762,1025.9991,918.3972,950.4599999999999,788.0004000000001,585.8691,574.0887,926.3467999999999,613.2948000000001,794.58,563.8134,924.5595000000001
b1892,,,,,,,,,,,,,,,,,,,,,,,66.6316,25.08,89.92500000000001,45.7368
b3259,285.9312,964.404,873.8303999999999,137.42499999999998,150.0886,209.74410000000003,163.8384,126.2375,153.27900000000002,99.876,59.571200000000005,63.6785,211.2966,380.0196,445.816,372.4106,669.3057,894.558,143.11440000000002,146.4312,160.7598,205.498,875.6024,276.40500000000003,1798.4564000000003,719.1156
b1937,,,,,,,,,,,,,,,,,,,,,,,55.7984,27.990000000000002,175.6862,26.249100000000002
b3988,3945.4984,15403.395499999999,8645.7792,2506.9884999999995,3104.3372000000004,4343.527700000001,3754.7928,3412.3125,6453.634500000001,4680.563999999999,3616.028,2849.6009999999997,2810.3922000000002,3089.9880000000003,3146.976,5938.2013,4908.8445,5084.142,4489.9008,2506.5687000000003,3565.6761,6684.938,9954.9264,3405.555,19440.804,10405.7592
