,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
b2579,22.53,0.62,5.02,6.98,9.27,21.46,3.17,8.66,7.65,2.22,4.08,3.71,10.2,7.99,8.9,15.63,1.66,12.91,2.2,5.64,13.08,6.6
b4351,3.77,16.47,12.28,10.63,7.52,18.29,27.08,9.92,17.11,13.46,8.72,14.66,22.15,17.32,21.01,20.75,14.28,10.89,6.8,19.0,8.77,5.86
b3300,23.94,0.36,18.28,11.37,7.52,3.54,10.57,34.2,5.64,9.63,14.64,4.25,26.33,17.22,22.34,29.35,9.04,8.93,17.55,26.56,7.33,9.63
b3005,28.57,4.85,6.89,9.83,13.71,1.18,4.84,7.93,5.25,9.51,8.81,9.08,9.97,14.25,2.98,5.96,2.87,2.31,10.65,10.37,26.02,2.73
b3609,11.94,11.87,2.68,8.17,12.21,15.48,3.4,4.29,14.65,19.88,21.86,3.54,3.11,5.34,13.13,33.64,7.87,4.05,7.02,3.99,5.43,5.75
b3868,14.77,10.28,14.04,14.9,21.51,22.49,6.21,24.59,6.91,1.79,8.68,9.39,106.96,8.1,19.8,26.62,9.15,10.38,16.35,10.32,22.1,11.17
b2079,8.52,3.96,8.02,8.4,11.85,13.22,7.93,26.46,12.76,13.52,15.61,11.01,30.7,4.71,13.02,11.26,6.42,10.15,2.05,14.49,15.95,6.38
b3912,7.83,5.79,20.82,9.87,15.08,4.76,15.02,15.36,10.7,11.22,6.92,7.75,5.1,12.06,16.12,13.89,8.55,9.29,9.88,10.04,9.77,13.46
b1608,9.85,3.32,6.34,21.29,4.24,12.43,6.87,4.17,9.76,13.57,2.57,10.71,19.12,8.1,6.65,14.14,15.43,9.35,9.76,17.15,5.24,64.25
b3650,55.44,25.45,51.91,32.83,8.33,16.02,20.26,41.2,5.47,4.37,15.23,3.01,2.72,8.73,12.34,13.67,31.63,23.72,49.3,20.29,59.93,58.08
b0571,25.2,3.88,31.19,20.37,10.35,11.67,1.89,13.8,20.01,2.98,9.23,1.52,21.32,26.6,42.41,13.27,3.99,38.4,12.36,17.55,39.83,8.11
b3025,,,,,,,,,,,,,,,,,,,,,,
b2266,64.23,12.25,11.48,16.05,22.85,7.76,8.12,1.41,30.66,1.33,14.89,5.44,12.01,11.26,23.1,18.61,14.05,3.82,14.68,10.76,27.03,5.23
b0710,13.49,4.99,8.65,5.37,5.66,8.15,4.86,8.53,3.21,13.05,8.13,5.12,16.63,7.38,4.85,6.66,1.98,2.11,2.73,9.94,1.86,3.52
b1414,8.78,7.71,4.31,27.48,17.47,18.93,4.93,12.46,10.04,7.15,2.13,9.5,9.75,41.08,10.94,31.62,4.87,15.38,7.91,1.54,8.61,5.12
b1864,13.7,1.17,10.39,3.52,4.37,6.71,3.35,11.76,2.83,11.59,8.59,4.83,10.58,6.44,10.95,11.86,6.68,4.39,8.53,8.07,8.11,8.5
b3029,0.88,2.85,10.25,7.01,9.42,11.23,1.95,8.87,7.05,2.81,7.26,2.1,12.92,12.79,18.54,27.42,3.26,13.92,6.44,3.06,8.22,3.66
b3200,8.71,5.55,6.48,10.0,5.11,14.78,3.61,7.1,4.25,6.07,4.95,6.04,5.17,4.69,15.56,14.53,2.43,3.62,7.74,6.77,6.56,0.89
b2516,5.3,4.0,3.82,10.31,2.78,8.7,4.57,4.16,5.41,10.25,8.46,1.93,17.64,12.58,15.66,13.81,2.79,0.38,5.63,4.8,8.72,1.89
b2745,4.2,6.56,12.33,8.7,7.37,6.89,2.31,13.91,12.4,4.43,3.39,6.97,15.47,10.55,18.4,10.22,5.73,14.74,12.37,22.63,6.72,8.26
b2900,7.92,11.01,10.99,8.24,9.33,11.69,11.6,11.65,7.35,3.23,6.24,0.62,11.97,9.13,21.36,12.86,8.13,5.43,6.08,5.53,13.29,4.99
b1340,,,,,,,,,,,,,,,,,,,,,,
b3028,21.76,6.15,7.37,16.66,6.9,2.25,6.16,10.81,6.76,3.15,4.31,10.82,15.65,18.89,19.97,16.47,5.35,13.13,5.93,2.25,4.06,11.68
b0761,6.79,2.36,14.13,12.88,4.04,10.08,10.41,4.31,12.72,4.3,7.0,10.96,21.87,25.5,3.6,9.69,20.97,15.79,10.68,21.45,11.13,12.16
b1729,12.5,5.22,17.44,18.09,5.39,4.37,11.48,37.48,16.69,4.93,9.79,3.99,12.68,21.62,27.6,20.91,2.17,1.77,14.41,23.28,10.24,15.24
b1908,22.87,8.34,16.65,13.99,8.63,22.4,10.14,16.05,6.32,13.33,9.59,4.41,46.58,9.59,18.67,33.59,7.4,13.36,11.45,31.71,17.7,5.0
b1929,25.13,16.06,22.03,3.71,16.36,10.73,17.49,54.01,13.16,21.1,32.63,23.95,54.1,7.23,65.75,43.0,39.82,40.66,17.44,31.94,30.07,24.35
b3812,19.87,3.58,4.76,3.58,14.87,5.66,7.09,10.67,6.95,2.99,9.54,9.38,35.49,23.07,11.99,20.42,10.33,35.78,20.42,15.84,14.54,21.08
b0207,2.82,3.13,7.42,8.54,14.65,6.64,18.34,4.96,11.72,15.09,13.37,4.91,6.61,45.19,5.08,38.1,47.7,32.83,14.73,2.68,9.49,4.85
b2806,4.6,12.29,4.88,14.31,9.79,4.68,0.99,3.88,11.03,9.92,8.64,1.61,7.63,13.52,24.08,20.83,16.42,10.1,8.78,9.42,15.26,12.32
b4352,3.57,10.86,14.18,10.92,6.25,7.91,2.2,11.83,11.67,3.46,10.4,8.57,33.88,4.38,10.04,21.41,13.57,17.82,6.26,10.34,4.08,10.26
b3499,5.53,5.23,6.97,20.26,9.66,9.52,5.46,11.36,19.55,11.72,16.99,2.27,26.9,5.04,32.46,23.83,10.8,8.92,7.75,8.68,14.68,13.35
b0594,26.88,12.72,17.18,4.39,18.17,20.67,10.38,19.22,7.31,9.51,5.69,3.6,5.33,9.42,4.13,13.73,14.16,25.36,6.92,18.64,44.88,13.98
b3816,27.98,5.25,27.3,20.17,14.42,18.73,21.55,31.03,24.14,13.92,13.03,6.63,10.2,8.12,43.84,32.58,25.16,27.93,27.68,22.17,35.21,7.94
b4242,53.13,4.32,52.15,7.34,10.97,10.8,5.14,36.79,9.22,11.64,17.53,5.92,19.36,15.18,34.04,27.88,25.7,7.56,31.58,26.98,44.03,9.61
b0199,9.81,3.78,4.61,5.58,4.57,6.78,15.81,16.87,12.66,6.73,0.99,5.95,1.96,9.94,16.93,6.68,4.92,4.25,13.93,5.06,12.16,2.81
b3611,22.36,18.41,20.3,34.39,23.91,4.31,16.23,18.72,15.72,19.92,12.82,14.39,7.76,22.92,23.05,35.2,9.73,17.65,26.11,19.39,17.06,10.32
b3070,10.92,9.46,7.37,23.22,8.85,9.91,5.55,16.08,16.11,2.68,12.71,7.32,28.19,7.72,15.5,8.98,2.23,4.99,2.68,20.9,19.9,6.66
b4142,15.39,4.88,4.88,17.12,9.6,4.93,14.24,11.07,3.12,7.26,2.88,5.52,13.94,5.84,7.91,26.92,11.26,6.88,5.26,8.34,9.49,4.74
b3414,7.07,3.99,3.56,6.4,7.88,13.24,4.51,7.17,3.73,2.66,1.77,3.86,10.72,3.88,3.16,15.21,7.68,6.64,2.92,9.06,15.34,3.19
b2821,17.66,11.75,8.88,19.54,4.79,15.29,14.71,4.41,17.83,18.07,17.3,24.53,34.21,17.96,8.96,45.95,18.42,17.96,19.75,17.99,16.45,17.41
b3356,10.18,2.27,9.87,10.38,10.43,18.7,7.78,14.19,7.01,9.0,1.15,4.9,16.57,13.84,37.49,31.51,13.67,9.83,21.77,23.19,17.34,8.56
b2936,15.47,7.02,13.27,15.64,1.82,13.91,17.1,9.79,17.86,5.45,4.26,10.62,43.4,34.57,8.46,18.67,10.35,6.82,4.1,10.9,8.92,10.62
b0092,6.74,1.33,5.07,7.0,4.51,13.91,4.13,10.48,5.05,1.66,2.13,6.34,23.1,11.44,7.11,15.17,11.46,10.13,8.11,10.55,11.26,5.65
b2708,16.24,10.01,2.67,2.13,8.36,8.0,9.28,7.52,4.79,4.59,8.85,0.88,4.41,24.6,16.84,21.9,6.4,5.03,3.32,5.92,2.66,17.62
b1209,7.35,2.05,13.24,8.22,8.92,2.8,1.63,13.89,2.76,10.41,5.4,9.8,30.2,10.61,15.53,14.46,8.04,11.96,8.68,3.88,9.74,2.01
b1782,6.71,6.13,7.46,3.05,7.88,4.01,8.66,7.23,4.31,2.82,7.42,2.88,40.1,8.51,5.86,8.19,7.38,4.16,5.05,2.46,8.28,5.29
b0178,10.55,6.61,6.1,4.83,5.88,5.64,5.05,3.31,3.65,8.12,3.8,5.25,14.13,11.49,24.36,9.89,7.62,16.74,4.66,13.9,7.97,5.08
b2016,14.59,4.29,3.23,22.78,15.37,12.68,3.32,8.39,2.26,12.68,4.72,3.05,0.24,7.49,17.06,30.84,5.11,10.11,6.63,19.34,2.63,5.8
b1325,,,,,,,,,,,,,,,,,,,,,,
b2175,17.85,4.77,31.57,11.49,10.72,27.63,9.27,3.4,21.49,6.53,5.76,6.85,11.62,31.28,24.72,9.69,6.3,68.97,9.53,4.69,11.76,4.69
b3702,9.29,12.83,11.06,9.51,14.21,3.7,6.99,19.59,14.56,5.32,15.12,9.77,32.99,14.49,28.64,44.84,14.81,8.95,2.6,15.64,3.58,12.26
b3701,9.09,6.34,11.92,4.57,5.56,4.14,4.38,5.68,3.89,6.11,2.37,0.84,15.18,3.69,21.72,13.97,9.15,3.78,7.56,4.73,5.09,10.81
b2159,15.33,11.42,1.65,59.66,32.59,6.46,6.37,42.98,10.37,6.59,19.04,12.58,73.75,56.12,28.23,30.32,2.21,21.78,8.56,17.41,4.73,6.41
b4059,4.87,8.34,8.86,13.07,2.83,1.85,8.66,8.74,4.38,6.81,8.19,6.09,18.04,7.23,3.01,13.55,3.09,1.59,6.32,5.31,8.46,10.2
b0912,8.31,2.82,10.3,8.18,5.01,7.04,6.24,12.15,7.16,1.56,0.72,8.07,6.45,4.47,31.96,6.25,5.92,22.95,7.1,4.58,3.22,11.88
b3019,24.79,10.3,29.24,12.24,18.98,6.62,15.65,29.23,5.65,5.37,13.89,4.4,4.96,17.76,20.18,41.51,5.27,6.97,10.07,19.39,23.29,18.45
b1187,22.92,23.56,19.87,10.83,7.7,3.76,8.34,6.85,8.28,8.41,13.68,3.48,40.98,24.62,8.54,20.53,2.69,6.41,8.74,11.47,7.99,1.55
b4396,16.32,16.9,14.65,4.34,10.01,27.29,15.48,16.67,12.34,4.56,7.9,14.2,11.01,25.09,26.89,21.52,21.07,15.83,1.99,22.78,23.71,4.36
b1642,19.04,3.25,3.25,11.86,3.89,4.17,4.64,5.15,6.96,7.76,6.89,4.27,13.27,2.54,7.35,10.19,14.73,15.1,18.72,4.37,9.42,10.21
b4135,36.91,8.05,7.62,10.6,20.46,7.84,3.6,8.27,15.23,0.89,4.36,8.11,13.8,13.66,39.24,49.08,6.35,7.64,4.55,8.32,8.29,6.65
b2837,,,,,,,,,,,,,,,,,,,,,,
b2531,0.84,6.82,9.41,2.82,6.42,15.32,5.39,9.96,4.88,1.45,5.91,5.0,15.25,24.01,17.51,64.57,16.34,15.3,4.49,3.02,48.44,17.79
b2684,8.72,4.58,4.17,4.41,7.45,5.85,2.67,10.91,4.74,7.15,2.62,4.63,38.6,11.3,4.51,39.91,2.92,12.01,1.16,5.31,19.52,5.17
b1618,,,,,,,,,,,,,,,,,,,,,,
b4171,19.58,5.48,8.29,6.2,18.44,9.28,14.25,9.9,7.27,3.61,18.0,8.78,29.77,19.0,18.32,8.29,3.61,7.05,3.19,3.28,14.34,19.15
b3167,9.92,6.98,9.04,8.08,3.6,8.74,7.93,5.6,3.22,7.51,7.06,2.85,18.04,2.89,6.8,11.59,6.48,12.08,5.41,2.52,3.96,5.73
b3301,29.71,4.88,20.55,16.0,18.32,35.54,13.75,33.55,17.97,8.27,3.18,3.75,10.49,9.01,27.45,18.82,2.76,7.41,99.66,5.87,6.68,8.47
b3315,15.23,1.79,6.14,10.58,3.53,1.96,7.46,3.66,2.25,4.85,9.22,2.47,6.68,2.66,6.85,11.19,11.41,3.85,5.92,7.21,11.1,6.69
b3936,17.27,9.99,12.43,20.95,12.44,53.41,15.38,5.7,7.79,9.02,6.48,7.86,10.28,1.49,9.23,41.63,6.87,19.38,12.42,9.39,6.72,18.51
b3166,20.21,9.84,6.68,19.86,25.8,19.33,17.25,5.73,6.05,8.68,22.48,7.04,22.74,23.27,6.08,3.64,8.85,38.55,34.02,20.55,25.73,16.53
b1133,11.68,7.9,6.87,3.12,11.49,5.71,5.31,18.5,4.47,7.2,10.26,31.23,17.58,8.45,33.96,14.11,5.88,4.12,4.3,23.2,5.2,10.07
b2608,15.23,6.11,7.61,4.61,2.95,2.94,2.86,3.51,2.83,5.04,1.8,5.97,6.26,32.34,8.13,24.6,5.73,16.58,7.01,8.72,11.54,7.04
b4180,6.76,5.25,13.29,11.38,3.21,8.44,11.98,3.46,3.08,4.03,5.7,12.26,8.13,34.78,24.27,8.19,1.66,8.11,2.67,7.97,2.12,9.93
b2594,5.14,10.95,7.13,20.37,12.49,14.12,10.88,29.73,14.99,15.78,15.0,3.99,4.93,10.55,7.41,31.63,8.37,21.76,12.4,21.15,13.57,15.21
b1584,9.28,5.29,2.21,5.54,10.12,10.86,1.55,12.63,14.76,10.16,17.43,6.83,5.89,20.84,9.4,39.83,7.77,9.61,10.43,22.28,7.68,3.53
b2318,,,,,,,,,,,,,,,,,,,,,,
b4243,5.49,1.99,4.93,16.09,5.48,5.45,1.11,2.67,6.49,1.05,8.22,1.68,8.91,1.63,10.43,5.16,2.34,4.88,0.98,5.4,7.97,10.23
b0954,16.28,3.8,8.92,10.87,8.53,12.82,4.21,1.67,4.37,12.82,9.34,4.24,10.47,3.51,9.3,7.86,4.97,5.87,8.24,2.83,7.87,10.8
b0180,10.26,10.89,8.14,4.91,11.37,10.43,4.68,5.41,5.82,4.68,17.73,3.03,9.29,9.02,7.23,14.18,11.59,8.45,5.9,15.83,17.46,11.97
b1412,6.09,8.01,2.28,14.99,14.76,0.71,10.89,5.26,16.77,3.48,9.75,7.2,14.93,38.96,26.67,25.33,8.09,3.9,7.7,17.29,13.48,6.58
b1271,6.19,16.76,21.55,21.82,5.91,8.73,7.66,20.52,11.7,11.59,12.75,18.28,16.92,9.59,17.27,5.02,3.27,4.14,6.07,15.69,9.15,3.03
b2842,,,,,,,,,,,,,,,,,,,,,,
b2564,4.88,8.35,11.42,13.32,5.61,20.27,3.81,15.44,19.6,26.77,26.16,6.8,2.17,0.22,4.72,6.62,5.93,6.82,12.67,5.41,4.8,3.02
b1870,4.66,4.86,5.02,9.52,9.23,10.17,7.97,21.49,4.68,6.44,7.34,7.76,19.66,36.95,18.01,7.44,16.77,0.85,15.35,4.47,12.58,6.05
b0425,,,,,,,,,,,,,,,,,,,,,,
b3041,16.42,18.34,13.25,10.28,21.11,36.07,18.86,14.85,20.99,27.04,30.05,7.87,23.7,27.72,9.53,46.87,4.46,9.38,5.57,8.14,17.88,33.47
b3429,29.2,3.36,46.58,20.0,16.47,11.43,18.17,42.59,6.77,9.53,16.27,2.4,14.54,15.88,46.3,39.81,10.12,4.39,12.16,23.26,26.15,15.83
b2240,21.24,29.34,12.12,6.47,10.58,2.08,3.02,8.03,12.86,3.25,6.46,7.11,41.63,4.56,51.83,21.11,6.53,9.49,9.46,7.95,5.09,9.91
b1896,30.43,4.64,9.32,13.75,20.72,9.8,8.48,0.42,14.87,4.64,4.73,6.98,57.31,23.0,12.75,27.26,31.93,21.37,18.26,20.75,32.22,24.67
b1199,21.78,11.85,9.68,29.48,16.38,20.74,16.16,12.36,27.74,22.27,8.95,15.19,66.93,61.23,19.49,30.78,16.56,11.34,5.35,10.2,29.36,4.13
b2167,23.52,2.87,19.88,5.76,10.44,10.8,11.92,5.43,8.94,1.72,7.24,3.48,6.46,17.29,19.04,8.08,2.3,6.52,16.74,7.64,19.79,12.33
b2093,17.37,11.71,5.81,27.64,9.55,25.75,16.74,25.84,2.37,16.67,4.35,3.11,13.23,24.72,5.16,11.41,8.03,26.74,4.78,15.27,5.78,6.38
b2094,1.27,6.47,6.98,7.79,19.57,26.96,22.66,26.58,15.11,5.23,11.04,4.67,13.4,22.72,8.75,45.53,10.83,11.98,12.69,14.57,2.07,12.45
b3579,,,,,,,,,,,,,,,,,,,,,,
b0910,4.07,5.23,8.47,5.06,9.94,5.98,3.38,10.12,5.82,5.84,6.76,4.79,15.2,6.99,18.89,16.8,9.26,5.47,6.45,15.3,4.56,5.0
b0238,11.16,3.07,4.02,2.74,8.15,4.52,3.59,11.03,7.07,9.34,10.56,7.06,26.76,4.77,7.66,34.66,15.24,2.64,6.24,4.32,7.55,2.57
b0522,44.57,4.92,9.24,0.57,11.3,16.46,6.37,6.88,4.44,12.26,1.93,5.72,23.02,24.88,2.31,4.3,2.34,16.69,5.03,19.31,8.66,4.67
b4328,19.44,1.46,9.97,8.82,9.77,8.09,13.02,9.67,16.78,10.72,8.91,7.15,24.79,9.21,10.03,15.93,9.05,8.25,7.57,13.65,12.62,13.31
b0651,4.91,12.28,9.23,8.21,6.39,7.98,3.33,7.4,1.6,1.6,9.28,3.39,19.19,23.78,8.63,15.55,11.84,24.32,6.29,18.94,23.02,16.16
b0030,15.26,16.38,7.67,13.25,10.48,14.31,6.26,9.06,16.26,4.82,10.78,8.41,11.37,55.77,43.97,41.98,9.48,24.34,9.29,5.85,9.73,36.62
b3389,3.09,7.93,4.67,5.76,12.81,5.15,9.92,9.08,7.59,10.97,8.55,7.5,9.92,40.03,33.31,29.92,3.51,15.14,5.3,6.89,0.32,9.22
b1704,11.7,5.61,7.13,14.55,11.9,1.65,2.88,5.84,7.46,18.23,4.75,11.82,3.42,9.48,13.78,15.72,10.17,3.75,5.54,11.92,1.46,6.1
b2472,21.55,2.64,11.97,25.13,9.65,16.22,2.0,29.09,11.57,11.5,12.34,12.32,26.02,13.16,29.36,29.83,15.29,16.84,2.94,17.48,20.79,21.83
b2025,5.75,4.87,3.96,4.8,7.9,11.31,1.84,11.46,10.39,8.1,6.84,5.51,16.16,13.65,5.26,22.11,1.73,10.25,5.62,12.46,2.95,4.84
b2838,4.33,3.46,11.07,17.47,4.47,11.45,3.84,7.3,8.45,7.7,5.13,7.79,15.01,16.23,21.4,23.45,3.99,13.49,10.04,18.6,3.72,8.83
b1059,7.44,3.47,12.22,8.17,2.96,4.6,7.94,8.5,4.74,9.39,1.83,4.54,8.42,7.26,3.99,2.86,6.16,4.92,2.79,4.8,3.54,4.92
b0121,12.38,4.79,11.91,15.52,6.76,3.62,1.59,9.6,9.25,4.9,9.86,2.91,6.22,24.77,6.47,16.29,6.33,37.76,8.82,1.14,8.14,6.5
b3225,17.25,14.59,7.82,16.91,21.61,16.77,5.7,24.57,12.52,10.38,9.24,12.52,33.41,30.2,32.75,33.67,23.74,23.34,12.86,33.18,40.96,31.0
b3454,8.87,6.07,7.62,12.74,6.19,12.34,6.5,38.89,5.79,5.54,8.13,4.44,30.27,21.65,43.03,23.47,9.16,7.1,8.61,7.11,4.02,9.43
b1126,21.51,6.08,13.53,1.74,12.04,10.62,4.24,18.5,2.77,7.25,5.26,5.63,12.44,14.74,16.17,12.92,8.68,3.93,12.54,14.22,9.16,16.31
