upid,GLC_BATCH_mu=0.58_S,LB_BATCH_mu=1.9_S,GLYC+AA_BATCH_mu=1.27_S,ACE_BATCH_mu=0.3_S,FUM_BATCH_mu=0.42_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.12_S,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC+SALTS_BATCH_mu=0.55_S,GLC@42deg_BATCH_mu=0.66_S,GLC@pH6_BATCH_mu=0.63_S,XYL_BATCH_mu=0.55_S,MAN_BATCH_mu=0.47_S,GAL_BATCH_mu=0.26_S,SUCC_BATCH_mu=0.44_S,FRU_BATCH_mu=0.65_S
P76561,34.17,22.70,24.27,44.58,27.64,62.12,7.41,20.53,43.52,52.18,81.16,80.63,61.45,85.87,89.75,105.20,72.40,19.38,69.28,82.67,138.89,28.02
P0A8Z7,8.63,15.08,39.10,27.75,28.44,24.08,7.81,50.63,16.43,21.06,26.97,15.63,25.56,30.09,33.04,64.69,25.01,13.13,27.12,8.14,6.08,18.02
P45468,31.07,13.07,12.60,13.95,4.00,42.18,22.84,39.86,12.51,5.77,24.97,15.11,78.09,46.48,50.18,41.11,6.07,18.72,6.90,9.38,27.48,8.92
P0AE45,15.21,22.13,32.82,44.48,37.57,53.52,65.70,61.52,22.77,11.54,34.62,8.34,61.97,152.10,92.24,105.44,15.19,77.18,4.34,96.13,16.58,38.81
P31825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P42597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P39407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P76223,22.23,5.77,5.74,8.96,27.40,31.74,12.98,19.04,14.11,17.49,31.45,12.37,16.68,87.30,17.27,90.17,90.49,19.62,10.47,19.25,21.33,33.44
P64493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P76344,20.47,18.64,67.61,38.49,17.17,88.78,107.48,116.52,0.95,135.14,154.07,1.00,130.48,142.13,79.55,0.72,0.59,0.62,157.18,103.00,159.95,161.08
